Date : 2023-03-20 15:19:40
Directory : /Users/stai/Documents/dev/mimikami/packages
Total : 219 files,  4051 codes, 1151 comments, 1480 blanks, all 6682 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Dart         |         68 |      2,310 |        492 |        586 |      3,388 |
| Markdown     |         24 |        442 |         72 |        308 |        822 |
| YAML         |         21 |        359 |        303 |        140 |        802 |
| C++          |         48 |        338 |        172 |        276 |        786 |
| Java         |          8 |        180 |         28 |         42 |        250 |
| Shell Script |         12 |        126 |         24 |         12 |        162 |
| Objective-C  |         10 |         98 |         24 |         56 |        178 |
| Ruby         |          4 |         80 |         18 |         12 |        110 |
| Gradle       |          4 |         52 |          0 |         16 |         68 |
| Properties   |         10 |         28 |          0 |          4 |         32 |
| Swift        |          6 |         28 |         18 |         24 |         70 |
| XML          |          2 |          6 |          0 |          2 |          8 |
| C            |          2 |          4 |          0 |          2 |          6 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                          |        219 |      4,051 |      1,151 |      1,480 |      6,682 |
| ..                                                                                                                                                                                                         |          3 |        -71 |        -10 |        -14 |        -95 |
| ../lib                                                                                                                                                                                                     |          3 |        -71 |        -10 |        -14 |        -95 |
| article                                                                                                                                                                                                    |         65 |      1,356 |        329 |        483 |      2,168 |
| article (Files)                                                                                                                                                                                            |          4 |         62 |         46 |         31 |        139 |
| article/android                                                                                                                                                                                            |          2 |         27 |          3 |          4 |         34 |
| article/android (Files)                                                                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| article/android/app                                                                                                                                                                                        |          1 |         25 |          3 |          4 |         32 |
| article/android/app/src                                                                                                                                                                                    |          1 |         25 |          3 |          4 |         32 |
| article/android/app/src/main                                                                                                                                                                               |          1 |         25 |          3 |          4 |         32 |
| article/android/app/src/main/java                                                                                                                                                                          |          1 |         25 |          3 |          4 |         32 |
| article/android/app/src/main/java/io                                                                                                                                                                       |          1 |         25 |          3 |          4 |         32 |
